size,size_name,procs,dist_time_ms_mean,dist_time_ms_std,sort_time_ms_mean,sort_time_ms_std,total_time_ms_mean,total_time_ms_std,lb_min_time_mean,lb_min_time_std,lb_max_time_mean,lb_max_time_std,lb_avg_time_mean,lb_avg_time_std,lb_imbalance_mean,lb_imbalance_std
100000,100k,2,65.13813333333333,6.3309237567146,60.04063333333333,7.284199835488678,125.222,12.459552520054645,60.04063333333333,7.284199835488678,60.08316666666666,7.268450293104666,60.0619,7.276358427812634,0.07382296666666667,0.04304610295977248
100000,100k,4,64.57263333333333,2.912748259519403,90.30566666666667,4.048531462559398,154.935,5.686571902297556,90.30566666666667,4.048531462559398,90.36280000000001,4.07703335281918,90.34816666666667,4.069568046283696,0.06240983333333333,0.030159573550753882
100000,100k,8,66.4374,3.9798766701997144,101.8176,26.273574038565826,168.30133333333333,29.903534211416105,101.8176,26.273574038565826,101.8659,26.27619203023908,101.85796666666667,26.275262929290232,0.04877323333333333,0.01136833275213799
100000,100k,16,64.2948,0.14580847026150795,102.26026666666667,11.985191196361171,166.67433333333332,12.076617503810128,102.26026666666667,11.985191196361171,102.3827,11.93713498583308,102.36806666666666,11.940213154015858,0.12390673333333334,0.09182046803198803
100000,100k,32,62.1118,0.34397544970535604,107.12436666666666,7.623881249293781,169.29566666666668,7.936740535845506,104.42336666666667,4.314662026547776,107.26366666666667,7.624110199448416,106.53996666666667,6.637906982124213,2.481659066666667,4.083090075132413
250000,250k,2,159.07,4.066522224210746,196.71333333333334,9.34671714204155,355.84566666666666,12.704544947904797,196.71333333333334,9.34671714204155,196.778,9.379293310265968,196.74566666666666,9.362709080887502,0.0323379,0.018309096801590187
250000,250k,4,161.87533333333334,4.315288673233042,262.30333333333334,10.946461955048926,424.233,14.859410890072331,262.30333333333334,10.946461955048926,262.35766666666666,10.940702460689312,262.34366666666665,10.94233532356478,0.020867766666666666,0.0032694232738104323
250000,250k,8,163.633,6.366136740598647,284.06733333333335,9.000205905052002,447.7613333333333,9.195290334368622,284.06733333333335,9.000205905052002,284.13366666666667,8.991333623736425,284.12266666666665,8.992815873425497,0.023298533333333333,0.004576314375491846
250000,250k,16,159.06866666666667,3.666218396840732,293.20666666666665,5.930569815231378,452.37333333333333,3.6242805263022113,293.20666666666665,5.930569815231378,293.30833333333334,5.926797814446945,293.29466666666667,5.925988553257001,0.03469453333333333,0.00428304237818555
250000,250k,32,161.76566666666668,1.24551247819255,293.78633333333335,6.6670305484025745,455.62966666666665,5.738662765255785,293.78633333333335,6.6670305484025745,293.8686666666667,6.670402711481008,293.86,6.670762550113743,0.0279056,0.0030689281239546806
